uf,acidentes_16,dummy
AC,820,0.27926829268292686
AL,2136,0.27902621722846443
AM,481,0.24532224532224534
AP,486,0.2962962962962963
BA,12905,0.2591243703990701
CE,5702,0.29323044545773413
DF,2656,0.33509036144578314
ES,7232,0.28691924778761063
GO,11449,0.3044807406760416
MA,3594,0.2810239287701725
MG,31142,0.2486031725643825
MS,5770,0.25251299826689777
MT,7118,0.23700477662264682
PA,4240,0.2516509433962264
PB,4335,0.3095732410611303
PE,8220,0.2727493917274939
PI,3473,0.3026202130722718
PR,24432,0.2886787819253438
RJ,13458,0.2677961064051122
RN,3679,0.31747757542810545
RO,4036,0.2998017839444995
RR,743,0.30955585464333785
RS,17079,0.300661631243047
SC,22985,0.274831411790298
SE,1726,0.28215527230590964
SP,14380,0.27357440890125173
TO,1984,0.2595766129032258
