estado;sigla_estado;area_total_1000km;area_total;area_litoral
Amazonas;AM;1570,7;1570700;0
Pará;PA;1247,6;1247600;562
Mato Grosso;MT;903,3;903300;0
Minas Gerais;MG;587,5;587500;0
Bahia;BA;564,6;564600;932
Mato Grosso do Sul;MS;357,1;357100;0
Goiás;GO;340;340000;0
Maranhão;MA;332;332000;640
Rio Grande do Sul;RS;281,7;281700;623
Tocantins;TO;277,6;277600;0
Piauí;PI;251,5;251500;66
São Paulo;SP;248,2;248200;622
Rondônia;RO;237,5;237500;0
Roraima;RR;224,2;224200;0
Paraná;PR;199,3;199300;98
Acre;AC ;152,5;152500;0
Ceará;CE;148,8;148800;573
Amapá;AP;142,8;142800;598
Pernambuco;PE;98,3;98300;187
Santa Catarina;SC;95,3;95300;531
Paraíba;PB;56,4;56400;117
Rio Grande do Norte;RN;52,8;52800;410
Espírito Santo;ES;46;46000;392
Rio de Janeiro;RJ;43,6;43600;636
Alagoas;AL;27,7;27700;229
Sergipe;SE;21,9;21900;163
Distrito Federal;DF;5,8;5800;0
