EMPRESA;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
AMAZONAS ENERGIA;;;;;59,48;59,77;61,75;55,88;30,98;28,47;35,64;45,08;65,57;48,09;66,58;64,58;69,88;68,3;54,89;65,2;56,33;55,01;46,64;47,83;37,65;35,24
CEB;11,51;15,62;17,79;20,32;20,12;17,7;14,63;15,4;11,7;12,17;10,58;10,81;11,04;13,29;14,77;16,06;16,26;14,81;17,51;20,16;17,73;15,78;15,54;9,67;8,44;8,56
CEEE;26,83;25,8;32,45;29,61;26,94;24,99;25,21;22,71;24,75;22,04;20,86;16,87;20,51;26,54;25,79;24,51;26,99;21,63;17,57;19,36;23,15;27,45;17,08;16,38;17,83;14,98
CELESC;26,33;29,55;26,34;34,77;29,71;30,86;25,25;21,95;20,93;20,19;23,74;18,28;16,33;15,2;16,4;14,39;13,56;13,53;17,15;16,51;15,5;15,16;14,67;12,84;12,33;10,68
CELPA;29,99;30,77;35,8;59,81;78,44;106,19;35,1;27,99;29,46;32,84;29,43;31,04;34,43;41,85;56,92;76,93;83,43;101,87;99,55;101,5;73,29;48,94;37,93;31,66;27,41;24,35
CELPE;26,21;23,15;18,64;17,34;18,39;14,32;14,24;16,34;15,48;16,15;12,34;15,96;12,95;15,82;15,1;15,25;16,59;18,21;19,04;19,32;23,76;25,51;19,31;15,8;16,98;12,47
CEMAR;53,59;48,32;44,73;40,74;44,03;49,25;36,86;38,67;67,54;66,78;67,94;63,46;54,56;42,4;28,59;27,19;23,45;21,41;21,44;21,64;18,85;17;15,28;14,22;13,28;14,02
CEMIG;15,81;13,5;14,35;15,12;12,89;11,58;10,02;10,15;11,37;13,01;10,74;10,93;12,21;13,03;13,14;13,66;14,09;12,99;14,32;14,74;12,49;10,77;11,54;11,73;10,83;9,88
CERON;;;;129,22;135,63;186,22;103,24;77,98;56,25;69,6;52,03;37,02;38,2;38,28;38,16;36,8;37;31,37;38,48;31,4;38,87;29,23;40,78;32,18;32,32;35,46
COELBA;27,6;26,45;30,73;28,92;31,56;32,55;24,77;23;21,69;17,4;15,97;15,22;16,07;14,81;13,95;14,01;14,97;26,6;22,86;19,98;22,52;22,72;24,78;22,9;19,83;14,45
COPEL;22,89;22,24;18,14;16,3;15,4;13,33;12,4;13,76;13,04;16,33;18,9;14,04;13,48;14,79;13,54;12,19;12,91;11,46;10,64;10,25;11,63;14,01;13,67;10,81;10,46;10,31
COSERN;43,11;48,16;45,27;49,94;42,37;34,08;23,11;13,47;10,86;11,52;10,62;12,4;12,85;12,48;13,04;13,73;14,22;12,7;15,24;14,49;13,74;16,63;14,72;13,52;12,48;11,16
CPFL PAULISTA;8,38;8,68;8,64;8,64;8,63;8,54;7,67;6,84;5,82;6,43;5,35;5,34;6,21;6,59;6,98;6,85;7,62;5,65;6,76;7,48;7,14;6,93;7,76;7,62;7,14;6,17
CPFL PIRATININGA;;;;;;;;;;10,24;6,52;6,85;8,13;6,75;6,9;6,54;11,02;6,88;6,45;5,64;7,44;6,98;7,25;8,44;6,97;5,92
EDP ES;28,65;29,61;33,94;29,64;22,14;17,9;18,25;13,86;12,91;14,53;10,68;11,44;11,8;8,31;11,53;10,67;11,43;9,16;10,48;9,88;9,78;10,37;8,82;8,8;8,43;8,24
