uf;2008;2012;2016
RO;1493565;1590011;1787279
AC;680075;758786;816687
AM;3341094;3590985;4001667
RR;412783;469524;514229
PA;7321490;7777543;8272724
AP;613166;698602;782295
TO;1280513;1417694;1532902
MA;6305537;6714314;6954036
PI;3111881;3160748;3212180
CE;8450528;8606005;8963663
RN;3106436;3228198;3474998
PB;3742604;3815171;3999415
PE;8734196;8931028;9410336
AL;3127560;3165472;3358963
SE;1999374;2110867;2265779
BA;14502563;14175341;15276566
MG;19850060;19855332;20997560
ES;3453646;3578067;3973697
RJ;15872362;16231365;16635996
SP;41011638;41901219;44749699
PR;10590171;10577755;11242720
SC;6052587;6362734;6910553
RS;10855228;10768025;11286500
MS;2336060;2500365;2682386
MT;2957735;3115336;3305531
GO;5844995;6154996;6695855
DF;2557159;2648532;2977216
